Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,_version:1,_order:1100
0b2036f9-0dc6-4f59-ad74-c833b1571f53,,,Oral Cavity Cancer,,Oral Cavity Cancer,,Oral Cavity Cancer,,Misc,N/A,,,,,
3c1c9550-13f2-4e1d-a4ea-9700049fcd4b,,,Nasopharynx Cencer,,Nasopharynx Cencer,,Nasopharynx Cencer,,Misc,N/A,,,,,
5b65aff7-2c6c-4560-bff9-92b6a12d1bea,,,Gallblader and Biliary tract Cancer,,Gallblader and Biliary tract Cancer,,Gallblader and Biliary tract Cancer,,Misc,N/A,,,,,
b2bedc9d-3903-4183-896b-54ac88cdc4e4,,,Pancreatic Cancer,,Pancreatic Cancer,,Pancreatic Cancer,,Misc,N/A,,,,,
c0828f5d-ba66-430c-8005-20c1c3bc4ad0,,,Lung Cancer,,Lung Cancer,,Lung Cancer,,Misc,N/A,,,,,
8cf99d49-1d20-427a-b6b2-b97699adbd46,,,Malignant skin melanoma,,Malignant skin melanoma,,Malignant skin melanoma,,Misc,N/A,,,,,
61572547-c871-4db1-9314-351e9ecbe473,,,Chagas disease,,Chagas disease,,Chagas disease,,Misc,N/A,,,,,
704402e7-7b01-46e7-8ac8-8cb471dc9656,,,Lieshmaniasis,,Lieshmaniasis,,Lieshmaniasis,,Misc,N/A,,,,,
82eb9128-2669-4002-a946-a14486d0c4d4,,,African Trypanosomiasis (sleeping sickness),,African Trypanosomiasis (sleeping sickness),,African Trypanosomiasis (sleeping sickness),,Misc,N/A,,,,,
4275d0fb-a1c4-4a8e-a12f-cf83c5f5aecf,,,Cysticercosis,,Cysticercosis,,Cysticercosis,,Misc,N/A,,,,,
f223ad78-07a3-4c1b-a61b-64339b329560,,,Zika Virus disease,,Zika Virus disease,,Zika Virus disease,,Misc,N/A,,,,,
198090d0-c344-497a-b170-cc3fd9cc8524,,,Other neglected tropical disease,,Other neglected tropical disease,,Other neglected tropical disease,,Misc,N/A,,,,,
1cd02ae0-2fac-4a2e-9e36-b6c48bddaef3,,,Other unspecified infecttous Diseases,,Other unspecified infecttous Diseases,,Other unspecifified infecttous Diseases,,Misc,N/A,,,,,
ddd01de8-a22d-4321-b687-21bf50ab3fb2,,,Ectopic Pregnancy,,Ectopic Pregnancy,,Ectopic Pregnancy,,Misc,N/A,,,,,
234893da-9a08-4f3c-973a-d7f46d2f531e,,,Indirect maternal deaths,,Indirect maternal deaths,,Indirect maternal deaths,,Misc,N/A,,,,,
0bc1be1c-26d6-4ee8-893a-e5ab87e9f5ab,,,Non-melanoma skin Cancer (squamous-cell carinoma),,Non-melanoma skin Cancer (squamous-cell carinoma),,Non-melanoma skin Cancer (squamous-cell carinoma),,Misc,N/A,,,,,
4311ed95-025e-4c34-97f8-ae63a6f8f6ee,,,Breast Cancer,,Breast Cancer,,Breast Cancer,,Misc,N/A,,,,,
dbc051a1-6508-458a-9dca-ee06222736e2,,,Cervical Cancer,,Cervical Cancer,,Cervical Cancer,,Misc,N/A,,,,,
c3291198-c9bd-447f-96e3-ec8f1305dd5b,,,Ovarian cancer,,Ovarian cancer,,Ovarian cancer,,Misc,N/A,,,,,
b44d317a-b8ac-4262-b4cf-0eb53262030c,,,Prostate Cancer,,Prostate Cancer,,Prostate Cancer,,Misc,N/A,,,,,
dcaa60bb-bed6-4261-87e1-23c1c07ad98d,,,Kidney Cancer,,Kidney Cancer,,Kidney Cancer,,Misc,N/A,,,,,
6da038df-55f2-4969-b7f0-4cb930a736aa,,,Thyoid Cancer,,Thyoid Cancer,,Thyoid Cancer,,Misc,N/A,,,,,
